lead_id,converted_to_tenant,sessions-count_not_na-lead_id,hits-sum-lead_id,hits-count_not_na-lead_id,unique_events-sum-lead_id,unique_events-mean-lead_id,page_per_session-sum-lead_id,pageviews-sum-lead_id,time_on_page-sum-lead_id,lead_dropped-sum-lead_id,lead_dropped-mean-lead_id,source-google-count-lead_id,device_category-count_tablet-lead_id,event_category-count_Inventory Residential Lead-lead_id,client_id,sessions-sum-client_id,sessions-count_not_na-client_id,sessions-max-client_id,sessions-mean-client_id,sessions-sum_per_lead-client_id,sessions-count_not_na_per_lead-client_id,unique_events-max-client_id,unique_events-mean-client_id,session_duration-max-client_id,session_duration-mean-client_id,page_per_session-max-client_id,page_per_session-mean-client_id,enquiries-sum-client_id,enquiries-max-client_id,enquiries-mean-client_id,enquiries-sum_per_lead-client_id,pageviews-sum-client_id,pageviews-max-client_id,pageviews-mean-client_id,pageviews-sum_per_lead-client_id,time_on_page-max-client_id,time_on_page-mean-client_id,avg_time_on_page-mean-client_id,property_search-sum-client_id,property_search-max-client_id,property_search-mean-client_id,property_search-sum_per_lead-client_id,lead_dropped-sum-client_id,lead_dropped-mean-client_id,bounce_rate-sum-client_id,bounce_rate-max-client_id,bounce_rate-mean-client_id,total_events-sum-client_id,timestamp-gap-client_id,social_source_referral-value-client_id,contact_us_click-value-client_id,app_downloads-value-client_id,source-mode-client_id,source-google-count-client_id,device_category-count_tablet-client_id,event_category-count_Property View-client_id,event_category-count_Property Search-client_id,event_category-count_Scroll Depth-client_id,event_category-count_Property Search Field-client_id,event_category-count_Image View-client_id,event_category-count_Property Form Field-client_id,event_category-count_App Download-client_id,event_category-count_Property Residential Lead-client_id,event_category-count_addthis-client_id,event_category-count_Contact Us-client_id,event_category-count_Promo-client_id,event_category-count_Property Commercial Lead-client_id,event_category-count_Property Freehold Lead-client_id,event_category-count_Happiness Survey Form-client_id,event_category-count_Download Form-client_id
284344,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,2.06774e+19,1,13,1,0.07692307692307693,1.0,13.0,2,1.0,340.0,68.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,False,False,False,search,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285384,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.90122e+19,18,106,1,0.16981132075471697,18.0,106.0,6,1.028301886792453,1423.0,125.11111111111111,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.009433962264150943,300.0,100.0,8.333333333333334,0.0,46.0,False,False,False,search,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0
285415,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,2.63426e+18,4,87,1,0.04597701149425287,4.0,87.0,3,0.7701149425287356,4632.0,133.41666666666666,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,76.0,3.0,1.3333333333333333,76.0,1338.0,221.3684210526316,216.4444444445614,0.0,0.0,0.0,0.0,1,0.011494252873563218,0.0,0.0,0.0,151.0,0.0,False,False,False,google,36,57,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0
287915,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.06492e+19,1,20,1,0.05,1.0,20.0,3,0.85,666.0,95.14285714285714,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.05,0.0,0.0,0.0,0.0,0.0,False,False,False,google,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288715,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.53162e+19,6,48,1,0.125,6.0,48.0,4,1.0833333333333333,467.0,41.357142857142854,1.0,0.5,0.0,0.0,0.0,0.0,48.0,3.0,2.1818181818181817,48.0,260.0,70.86363636363636,37.136363635,0.0,0.0,0.0,0.0,1,0.020833333333333332,0.0,0.0,0.0,76.0,0.0,True,False,False,chat_media,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
289350,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.9368e+19,3,47,1,0.06382978723404255,1.0,15.666666666666666,6,1.2340425531914894,391.0,37.75,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,3,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,False,False,False,google,16,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
296258,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,2.02253e+19,14,129,1,0.10852713178294573,14.0,129.0,6,1.1472868217054264,698.0,21.31111111111111,1.0,0.022222222222222223,1.0,1.0,0.022222222222222223,1.0,101.0,3.0,1.6290322580645162,101.0,216.0,56.596774193548384,46.48924731080645,2.0,1.0,0.03225806451612903,2.0,1,0.007751937984496124,100.0,100.0,2.2222222222222223,313.0,8640.000000000002,False,False,False,leasing_website,0,0,17,2,38,2,0,9,0,0,0,0,0,0,0,0,0
294369,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.25293e+19,5,19,1,0.2631578947368421,5.0,19.0,2,1.0526315789473684,150.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,10.0,150.0,52.6,52.6,0.0,0.0,0.0,0.0,1,0.05263157894736842,0.0,0.0,0.0,20.0,1.0000000000000002,False,False,False,client,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297095,0,1,0.0,0,1,1.0,0.0,0.0,0.0,1,1.0,0,0,0,2.06624e+19,1,12,1,0.08333333333333333,1.0,12.0,2,0.75,176.0,35.2,1.0,0.2,1.0,1.0,0.2,1.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,False,False,False,search,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
298435,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,7.67222e+18,4,96,1,0.041666666666666664,4.0,96.0,10,1.3333333333333333,1596.0,90.66666666666667,1.0,0.14285714285714285,1.0,1.0,0.047619047619047616,1.0,22.0,5.0,1.0476190476190477,22.0,1194.0,90.85714285714286,77.11746031728572,2.0,1.0,0.13333333333333333,2.0,1,0.010416666666666666,0.0,0.0,0.0,102.0,377281.0,False,False,False,google,21,0,6,2,34,11,0,9,0,0,0,0,0,0,0,0,0
